iter	Passed	Remaining
0	0	82
1	1	77
2	2	76
3	2	70
4	3	71
5	4	69
6	5	68
7	5	67
8	6	66
9	7	66
10	8	65
11	8	65
12	9	64
13	10	63
14	10	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	37	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
