iter	Passed	Remaining
0	166	165903
1	168	84007
2	170	56759
3	173	43168
4	175	34936
5	177	29418
6	179	25438
7	181	22464
8	183	20167
9	184	18263
10	185	16709
11	187	15434
12	188	14342
13	190	13405
14	191	12595
15	194	11931
16	195	11324
17	197	10773
18	199	10292
19	201	9862
20	203	9471
21	206	9181
22	208	8862
23	210	8543
24	212	8270
25	214	8017
26	216	7816
27	218	7595
28	220	7389
29	222	7179
30	224	7010
31	226	6849
32	227	6672
33	229	6511
34	230	6357
35	232	6220
36	233	6083
37	235	5969
38	238	5865
39	239	5759
40	241	5649
41	242	5541
42	244	5444
43	246	5348
44	247	5259
45	249	5177
46	251	5104
47	253	5024
48	255	4965
49	257	4896
50	261	4862
51	262	4793
52	264	4733
53	266	4669
54	268	4607
55	270	4555
56	272	4500
57	273	4448
58	275	4394
59	277	4340
60	278	4286
61	280	4242
62	281	4191
63	283	4139
64	284	4090
65	285	4043
66	287	3997
67	288	3952
68	290	3914
69	291	3875
70	293	3840
71	294	3800
72	296	3767
73	298	3733
74	299	3698
75	301	3661
76	302	3627
77	304	3601
78	306	3570
79	307	3539
80	309	3508
81	311	3484
82	311	3446
83	313	3418
84	314	3389
85	316	3365
86	318	3340
87	319	3315
88	321	3295
89	323	3270
90	325	3248
91	326	3225
92	328	3201
93	329	3177
94	331	3153
95	332	3133
96	333	3108
97	335	3090
98	337	3069
99	338	3047
100	339	3024
101	341	3005
102	342	2987
103	344	2970
104	346	2955
105	348	2939
106	349	2920
107	351	2901
108	353	2886
109	355	2874
110	357	2862
111	358	2846
112	360	2827
113	362	2813
114	363	2797
115	364	2780
116	366	2762
117	367	2748
118	368	2731
119	370	2715
120	371	2701
121	372	2683
122	374	2671
123	375	2655
124	377	2641
125	378	2627
126	380	2612
127	381	2599
128	383	2586
129	384	2574
130	387	2569
131	388	2557
132	390	2543
133	391	2530
134	393	2519
135	394	2508
136	396	2496
137	398	2486
138	399	2477
139	401	2466
140	402	2453
141	403	2438
142	404	2426
143	406	2416
144	407	2404
145	408	2391
146	410	2379
147	411	2369
148	413	2361
149	414	2350
150	416	2341
151	417	2330
152	419	2321
153	420	2312
154	422	2301
155	423	2292
156	425	2283
157	426	2273
158	428	2265
159	429	2254
160	430	2242
161	431	2233
162	433	2223
163	434	2214
164	435	2204
165	437	2197
166	438	2189
167	440	2180
168	442	2173
169	443	2166
170	445	2159
171	447	2152
172	448	2146
173	450	2138
174	451	2129
175	453	2121
